s_det: -1.850000023841858, s_id: -1.0499999523162842, loss: 4289.6005859375, hm_loss: 1346.302978515625, wh_loss: 1.4372750520706177, off_loss: 0.8150147795677185, id_loss: 4.815107822418213
s_det: -1.8499000072479248, s_id: -1.049899935722351, loss: 599.0938720703125, hm_loss: 186.19522094726562, wh_loss: 1.6183643341064453, off_loss: 0.3984570801258087, id_loss: 4.715880393981934
s_det: -1.8498234748840332, s_id: -1.0498000383377075, loss: 142.08383178710938, hm_loss: 42.411949157714844, wh_loss: 0.9368075132369995, off_loss: 0.48065701127052307, id_loss: 4.8057966232299805
s_det: -1.8497623205184937, s_id: -1.0497000217437744, loss: 18.316980361938477, hm_loss: 3.568159818649292, wh_loss: 1.1514253616333008, off_loss: 0.3675018846988678, id_loss: 4.822596073150635
s_det: -1.8497120141983032, s_id: -1.0496000051498413, loss: 17.217016220092773, hm_loss: 3.394199848175049, wh_loss: 0.3663285970687866, off_loss: 0.35542261600494385, id_loss: 4.642161846160889
s_det: -1.849669337272644, s_id: -1.0495001077651978, loss: 21.92591094970703, hm_loss: 4.67608118057251, wh_loss: 0.5647695660591125, off_loss: 0.5458707213401794, id_loss: 4.618768692016602
s_det: -1.8496323823928833, s_id: -1.0494003295898438, loss: 20.984827041625977, hm_loss: 4.5776238441467285, wh_loss: 0.7893055081367493, off_loss: 0.3027794659137726, id_loss: 4.670904159545898
s_det: -1.8495999574661255, s_id: -1.0493006706237793, loss: 22.590890884399414, hm_loss: 5.09795618057251, wh_loss: 0.7963601350784302, off_loss: 0.34269553422927856, id_loss: 4.54771089553833
s_det: -1.8495711088180542, s_id: -1.0492011308670044, loss: 23.08517074584961, hm_loss: 5.030824661254883, wh_loss: 0.7489969730377197, off_loss: 0.5345087647438049, id_loss: 4.627642631530762
s_det: -1.8495453596115112, s_id: -1.0491015911102295, loss: 28.15300178527832, hm_loss: 6.707123756408691, wh_loss: 0.9284113049507141, off_loss: 0.417127400636673, id_loss: 4.667498588562012
s_det: -1.8495221138000488, s_id: -1.0490020513534546, loss: 29.709997177124023, hm_loss: 7.317714691162109, wh_loss: 0.8499352931976318, off_loss: 0.3232387602329254, id_loss: 4.626020431518555
s_det: -1.8495010137557983, s_id: -1.0489025115966797, loss: 30.84538459777832, hm_loss: 7.671766757965088, wh_loss: 0.5363323092460632, off_loss: 0.311848521232605, id_loss: 4.729073524475098
s_det: -1.8494817018508911, s_id: -1.0488028526306152, loss: 32.482940673828125, hm_loss: 8.080870628356934, wh_loss: 0.6774169206619263, off_loss: 0.5154567956924438, id_loss: 4.48134708404541
s_det: -1.8494640588760376, s_id: -1.0487034320831299, loss: 34.02252197265625, hm_loss: 8.646458625793457, wh_loss: 0.47540998458862305, off_loss: 0.45439231395721436, id_loss: 4.48230504989624
s_det: -1.8494477272033691, s_id: -1.0486042499542236, loss: 35.530094146728516, hm_loss: 9.14343547821045, wh_loss: 0.9677808284759521, off_loss: 0.34141987562179565, id_loss: 4.574612617492676
s_det: -1.8494327068328857, s_id: -1.0485050678253174, loss: 31.781553268432617, hm_loss: 7.9737396240234375, wh_loss: 0.3235873579978943, off_loss: 0.33702874183654785, id_loss: 4.7068190574646
s_det: -1.8494187593460083, s_id: -1.0484057664871216, loss: 34.08029556274414, hm_loss: 8.669318199157715, wh_loss: 1.0029549598693848, off_loss: 0.3553825914859772, id_loss: 4.577062129974365
s_det: -1.8494057655334473, s_id: -1.0483064651489258, loss: 36.061805725097656, hm_loss: 9.103473663330078, wh_loss: 0.6556438207626343, off_loss: 0.5236974954605103, id_loss: 4.70198392868042
s_det: -1.849393606185913, s_id: -1.0482070446014404, loss: 33.90228271484375, hm_loss: 8.69491958618164, wh_loss: 0.4505409300327301, off_loss: 0.3610861897468567, id_loss: 4.506927013397217
s_det: -1.8493822813034058, s_id: -1.0481077432632446, loss: 33.57931137084961, hm_loss: 8.611410140991211, wh_loss: 0.33757466077804565, off_loss: 0.2826975882053375, id_loss: 4.6670427322387695
s_det: -1.8493716716766357, s_id: -1.0480083227157593, loss: 33.73500442504883, hm_loss: 8.785888671875, wh_loss: 0.6766120195388794, off_loss: 0.23668354749679565, id_loss: 4.41500997543335
s_det: -1.8493616580963135, s_id: -1.0479092597961426, loss: 36.55297088623047, hm_loss: 9.208498001098633, wh_loss: 0.787116527557373, off_loss: 0.5395224690437317, id_loss: 4.750476360321045
s_det: -1.8493521213531494, s_id: -1.0478099584579468, loss: 34.931373596191406, hm_loss: 8.976092338562012, wh_loss: 0.7607094049453735, off_loss: 0.36120733618736267, id_loss: 4.535089492797852
s_det: -1.8493430614471436, s_id: -1.0477107763290405, loss: 35.62139129638672, hm_loss: 9.208498001098633, wh_loss: 0.7592904567718506, off_loss: 0.3131139576435089, id_loss: 4.609173774719238
s_det: -1.849334478378296, s_id: -1.0476114749908447, loss: 34.833290100097656, hm_loss: 9.112256050109863, wh_loss: 0.5744295120239258, off_loss: 0.28311553597450256, id_loss: 4.379532814025879
s_det: -1.849326252937317, s_id: -1.0475125312805176, loss: 33.1196403503418, hm_loss: 8.46617603302002, wh_loss: 1.0516287088394165, off_loss: 0.37957867980003357, id_loss: 4.296794414520264
s_det: -1.8493183851242065, s_id: -1.0474140644073486, loss: 36.01930236816406, hm_loss: 9.20849895477295, wh_loss: 0.5776374340057373, off_loss: 0.5477297306060791, id_loss: 4.407528877258301
s_det: -1.8493108749389648, s_id: -1.0473157167434692, loss: 35.15767288208008, hm_loss: 9.079465866088867, wh_loss: 0.5338562726974487, off_loss: 0.43540826439857483, id_loss: 4.351413249969482
s_det: -1.8493036031723022, s_id: -1.0472177267074585, loss: 34.930782318115234, hm_loss: 9.202614784240723, wh_loss: 0.6075188517570496, off_loss: 0.2854137122631073, id_loss: 4.236161708831787
s_det: -1.8492965698242188, s_id: -1.0471200942993164, loss: 36.04134750366211, hm_loss: 9.208498001098633, wh_loss: 0.6969507932662964, off_loss: 0.4569798409938812, id_loss: 4.60045862197876
s_det: -1.8492897748947144, s_id: -1.0470222234725952, loss: 35.15468215942383, hm_loss: 9.140888214111328, wh_loss: 0.3677256405353546, off_loss: 0.4123081862926483, id_loss: 4.302504539489746
s_det: -1.849283218383789, s_id: -1.0469245910644531, loss: 34.95601272583008, hm_loss: 9.017641067504883, wh_loss: 0.5632553696632385, off_loss: 0.4489116370677948, id_loss: 4.313223361968994
s_det: -1.8492767810821533, s_id: -1.0468271970748901, loss: 32.89915084838867, hm_loss: 8.430684089660645, wh_loss: 1.112973928451538, off_loss: 0.35084325075149536, id_loss: 4.275269985198975
s_det: -1.8492705821990967, s_id: -1.0467300415039062, loss: 34.70106887817383, hm_loss: 9.123676300048828, wh_loss: 0.4046536982059479, off_loss: 0.2540191113948822, id_loss: 4.368892192840576
s_det: -1.8492645025253296, s_id: -1.046633005142212, loss: 34.76872634887695, hm_loss: 9.20849895477295, wh_loss: 0.6707326769828796, off_loss: 0.267234206199646, id_loss: 4.138784408569336
s_det: -1.849258542060852, s_id: -1.0465364456176758, loss: 35.07368469238281, hm_loss: 9.122298240661621, wh_loss: 0.7187096476554871, off_loss: 0.4379049241542816, id_loss: 4.154238224029541
s_det: -1.849252700805664, s_id: -1.0464402437210083, loss: 34.979827880859375, hm_loss: 9.200908660888672, wh_loss: 0.4731544256210327, off_loss: 0.3327639400959015, id_loss: 4.202815532684326
s_det: -1.8492469787597656, s_id: -1.04634428024292, loss: 35.0831413269043, hm_loss: 9.20849895477295, wh_loss: 0.5547691583633423, off_loss: 0.36676496267318726, id_loss: 4.164831161499023
s_det: -1.8492412567138672, s_id: -1.0462485551834106, loss: 33.811851501464844, hm_loss: 8.995579719543457, wh_loss: 0.8419551849365234, off_loss: 0.21750995516777039, id_loss: 4.016575336456299
s_det: -1.8492356538772583, s_id: -1.0461533069610596, loss: 33.105224609375, hm_loss: 8.499765396118164, wh_loss: 0.721178412437439, off_loss: 0.4125591516494751, id_loss: 4.21897029876709
s_det: -1.849230170249939, s_id: -1.046058177947998, loss: 34.846397399902344, hm_loss: 8.993823051452637, wh_loss: 0.515470564365387, off_loss: 0.4248253107070923, id_loss: 4.358365535736084
s_det: -1.8492246866226196, s_id: -1.0459628105163574, loss: 33.645511627197266, hm_loss: 8.690072059631348, wh_loss: 0.5624063014984131, off_loss: 0.2772308588027954, id_loss: 4.512282848358154
s_det: -1.8492193222045898, s_id: -1.0458669662475586, loss: 35.50332260131836, hm_loss: 9.186834335327148, wh_loss: 0.6865402460098267, off_loss: 0.33027952909469604, id_loss: 4.562954902648926
s_det: -1.84921395778656, s_id: -1.0457706451416016, loss: 33.973079681396484, hm_loss: 8.962804794311523, wh_loss: 0.5316582918167114, off_loss: 0.30052652955055237, id_loss: 4.089292526245117
s_det: -1.8492085933685303, s_id: -1.0456746816635132, loss: 29.968589782714844, hm_loss: 7.608922004699707, wh_loss: 0.6916027069091797, off_loss: 0.36427199840545654, id_loss: 4.120666027069092
s_det: -1.84920334815979, s_id: -1.0455790758132935, loss: 35.8610954284668, hm_loss: 9.178359031677246, wh_loss: 0.46525806188583374, off_loss: 0.44734784960746765, id_loss: 4.622879981994629
s_det: -1.8491981029510498, s_id: -1.0454827547073364, loss: 33.87671661376953, hm_loss: 8.990397453308105, wh_loss: 0.4200066328048706, off_loss: 0.28317493200302124, id_loss: 4.0250115394592285
s_det: -1.8491928577423096, s_id: -1.0453870296478271, loss: 30.401554107666016, hm_loss: 7.846597671508789, wh_loss: 0.8999966979026794, off_loss: 0.250725120306015, id_loss: 4.1025872230529785
s_det: -1.8491876125335693, s_id: -1.045291543006897, loss: 29.8173885345459, hm_loss: 7.740032196044922, wh_loss: 0.6264837980270386, off_loss: 0.2529723048210144, id_loss: 3.9864463806152344
s_det: -1.8491824865341187, s_id: -1.0451966524124146, loss: 30.178483963012695, hm_loss: 7.863367080688477, wh_loss: 0.38053396344184875, off_loss: 0.2954367995262146, id_loss: 3.9253089427948
s_det: -1.849177360534668, s_id: -1.0451022386550903, loss: 33.343475341796875, hm_loss: 8.82775592803955, wh_loss: 0.45534223318099976, off_loss: 0.27034837007522583, id_loss: 4.0360107421875
s_det: -1.8491722345352173, s_id: -1.0450081825256348, loss: 33.83095169067383, hm_loss: 8.642253875732422, wh_loss: 0.4643731415271759, off_loss: 0.297017365694046, id_loss: 4.732285022735596
s_det: -1.8491671085357666, s_id: -1.0449129343032837, loss: 32.2003173828125, hm_loss: 8.234891891479492, wh_loss: 0.46978211402893066, off_loss: 0.29268768429756165, id_loss: 4.5046772956848145
s_det: -1.849161982536316, s_id: -1.0448170900344849, loss: 33.31723403930664, hm_loss: 8.764642715454102, wh_loss: 0.4468437731266022, off_loss: 0.3768157958984375, id_loss: 3.9239020347595215
